REPORT ON SHOP SCHEDULE ACTIVITIES FOR VANDE BHARAT TRAINSET (Ver. 2)

| Main Assy. | Sub-Assembly / Component | Schedule | Remarks |
| :--- | :--- | :---: | :---: | :---: | :--- |
| | | SS 1 | SS2 | SS3 | |
| | i. Draft gear rubber/elastomeric pads | -- | -- | ✓ | |
| | I. Main Air Compressor (Main Air Supply) | | | | |
| | i. Air Filter | ✓ | ✓ | ✓ | |
| | ii. Resilient Mounting & Restrainers | -- | ✓ | ✓ | |
| | II. Micromesh Filter | | | | |
| | i. Filter Element | ✓ | ✓ | ✓ | |
| | III. Final Filter | | | | |
| | i. Filter Element | ✓ | ✓ | ✓ | |
| | IV. Auxiliary Air Compressor (Pantograph Control) | | | | |
| | i. Air Filter | ✓ | ✓ | ✓ | |
| | V. Safety Valves | -- | -- | ✓ | |
| Electro - Pneumatic Brake System | VI. Pneumatic Horn/Tyfon (Low tone / High tone) | -- | ✓ | ✓ | |
| | VII. Drain Valves / Drain Cocks | -- | ✓ | ✓ | |
| | VIII. Ballcocks/Isolating cocks/Cutoff angle cocks (with or without switch module or exhaust/vented) | -- | ✓ | ✓ | |
| | IX. Pressure Governors / Pressure Switches | -- | -- | ✓ | |
| | X. Air Filters | ✓ | ✓ | ✓ | |
| | XI. Rubber Hose Connections, Hose Pipes & Hose Coupling | -- | ✓ | ✓ | |
| | XII. Dual/Duplex Pressure Gauge-MR/BP, Dual/Duplex Pressure Gauge-BC/AR, BP Gauge | -- | -- | ✓ | |
| | XIII. Brake Pad | -- | ✓ | ✓ | |
| Shell and Under-Frame | I. Exterior Paint | -- | ✓ | ✓ | |
| Interior and Furnishing Items | I. Gangway | | | | Complete Gangway System Replacement: ● M/s Hubner: 12 Years (2nd SS3) ● M/s Dellner: 15 Years (3rd SS-2) ● M/s Lince: 12 Years (2nd SS3) ● M/s Ultimate Transportation Equipment: 12 Years (2nd SS3) ● M/s CRI: |

IRCAMTECH/GWL/MECH/2025-26/TRAINSET/SHOP SCHEDULE/REPORT Page 85 of 359
